alkanes,,,,,,,,
system,dCC,Vbnp,V?,V(r),lv1,lv2,lv3,l?v1
ethane,1.53,10.376,-9.746,0.630,5.174,-1.094,-1.094,-12.100
propane,1.53,12.302,-11.675,0.627,5.177,-1.089,-1.077,-12.096
,1.53,12.302,-11.675,0.627,5.177,-1.089,-1.077,-12.096
butane,1.53,13.538,-12.910,0.628,5.183,-1.091,-1.080,-12.111
,1.53,13.538,-12.910,0.628,5.183,-1.091,-1.080,-12.111
,1.53,14.216,-13.594,0.623,5.175,-1.081,-1.058,-12.082
decane,1.53,17.061,-16.434,0.628,5.180,-1.091,-1.080,-12.105
,1.53,17.061,-16.434,0.628,5.180,-1.091,-1.080,-12.105
,1.53,19.389,-18.764,0.625,5.184,-1.086,-1.065,-12.105
,1.53,19.389,-18.764,0.625,5.184,-1.086,-1.065,-12.105
,1.53,19.793,-19.168,0.625,5.182,-1.085,-1.065,-12.100
,1.53,19.793,-19.168,0.625,5.181,-1.085,-1.065,-12.100
,1.53,19.918,-19.293,0.625,5.181,-1.085,-1.065,-12.100
,1.53,18.588,-17.965,0.623,5.178,-1.083,-1.062,-12.091
,1.53,18.588,-17.965,0.623,5.178,-1.083,-1.062,-12.091
cycloalkanes,,,,,,,,
system,dCC,Vbnp,V?,V(r),lv1,lv2,lv3,l?v1
cyclopropane,1.50,12.837,-12.093,0.743,5.311,-1.221,-1.172,-12.820
cyclobutane,1.55,14.205,-13.596,0.609,4.878,-1.013,-0.986,-11.567
cyclohexane,1.53,16.826,-16.208,0.618,5.130,-1.066,-1.052,-11.989
adamentane,1.54,22.306,-21.698,0.608,5.058,-1.034,-1.029,-11.828
cubane,1.56,20.022,-19.429,0.593,4.643,-0.949,-0.902,-11.153
,,,,,,,,
sterically crowded systems,,,,,,,,
system,dCC,Vbnp,V?,V(r),lv1,lv2,lv3,l?v1
Pbtth,1.69,43.655,-43.180,0.475,3.428,-0.664,-0.613,-8.351
Ptho,1.69,43.655,-43.180,0.475,3.428,-0.664,-0.613,-8.351
Bptd,1.65,41.323,-40.857,0.467,3.889,-0.740,-0.736,-9.172
Ahod,1.66,41.302,-40.843,0.459,3.836,-0.726,-0.721,-9.042
Dddcpa,1.70,50.370,-49.937,0.433,3.407,-0.628,-0.605,-8.112
Ttca,1.73,55.861,-55.454,0.407,3.194,-0.573,-0.559,-7.588
Dddcada,1.76,49.381,-49.000,0.381,2.980,-0.517,-0.511,-7.081
Hdbec,1.67,80.666,-80.191,0.475,3.709,-0.700,-0.700,-8.735
Tdtca,1.75,52.219,-51.831,0.389,3.061,-0.543,-0.529,-7.275
"1,2-diamino-o-carborane-1",1.79,35.917,-35.415,0.503,2.693,-0.501,-0.455,-6.626
"1,2-diamino-o-carborane-2",1.82,40.123,-39.649,0.474,2.536,-0.464,-0.405,-6.265
,,,,,,,,
alkenes,,,,,,,,
system,dCC,Vbnp,V?,V(r),lv1,lv2,lv3,l?v1
ethene,1.32,10.966,-9.946,1.021,8.637,-2.256,-2.060,-19.170
butadiene,1.33,13.780,-12.773,1.007,8.470,-2.194,-1.996,-18.842
,1.33,13.780,-12.773,1.007,8.470,-2.194,-1.996,-18.842
,1.46,13.664,-12.902,0.762,6.098,-1.356,-1.320,-14.066
hexatriene,1.33,15.230,-14.227,1.004,8.431,-2.181,-1.985,-18.768
,1.33,15.230,-14.227,1.004,8.431,-2.181,-1.985,-18.768
,1.34,16.586,-15.595,0.991,8.275,-2.121,-1.926,-18.461
,1.45,15.629,-14.855,0.775,6.190,-1.390,-1.345,-14.261
,1.45,15.629,-14.855,0.775,6.190,-1.390,-1.345,-14.261
octatetraene,1.33,16.209,-15.207,1.003,8.418,-2.176,-1.982,-18.742
,1.33,16.209,-15.207,1.003,8.418,-2.176,-1.982,-18.742
,1.34,18.035,-17.048,0.987,8.225,-2.104,-1.912,-18.363
,1.34,18.035,-17.048,0.987,8.225,-2.104,-1.912,-18.363
,1.45,17.604,-16.815,0.789,6.301,-1.431,-1.376,-14.495
,1.45,16.813,-16.035,0.778,6.214,-1.399,-1.352,-14.312
,1.45,16.813,-16.035,0.778,6.214,-1.399,-1.352,-14.312
decapentaene,1.33,16.948,-15.946,1.002,8.412,-2.174,-1.980,-18.732
,1.33,16.948,-15.946,1.002,8.412,-2.174,-1.980,-18.732
,1.34,19.013,-18.028,0.985,8.206,-2.097,-1.907,-18.327
,1.34,19.013,-18.028,0.985,8.206,-2.097,-1.907,-18.327
,1.35,19.484,-18.501,0.982,8.169,-2.084,-1.896,-18.254
,1.45,18.791,-17.998,0.793,6.333,-1.442,-1.385,-14.563
,1.45,18.791,-17.998,0.793,6.333,-1.442,-1.385,-14.563
,1.45,17.661,-16.882,0.779,6.223,-1.402,-1.354,-14.330
,1.45,17.661,-16.882,0.779,6.223,-1.402,-1.354,-14.330
,,,,,,,,
PBHs,,,,,,,,
system,dCC,Vbnp,V?,V(r),lv1,lv2,lv3,l?v1
benzene,1.39,15.598,-14.713,0.886,7.272,-1.764,-1.638,-16.489
naphthalene,1.37,19.961,-19.029,0.932,7.697,-1.914,-1.757,-17.335
,1.37,19.961,-19.029,0.932,7.697,-1.914,-1.757,-17.335
,1.37,19.961,-19.029,0.932,7.697,-1.914,-1.757,-17.335
,1.37,19.961,-19.029,0.932,7.697,-1.914,-1.757,-17.335
,1.42,19.361,-18.517,0.843,6.833,-1.616,-1.517,-15.601
,1.42,19.361,-18.517,0.843,6.833,-1.616,-1.517,-15.601
,1.42,20.978,-20.140,0.839,6.772,-1.591,-1.490,-15.472
,1.42,20.978,-20.140,0.839,6.772,-1.591,-1.490,-15.472
,1.42,20.978,-20.144,0.839,6.772,-1.591,-1.490,-15.472
,1.42,20.978,-20.140,0.839,6.772,-1.591,-1.490,-15.472
,1.42,22.113,-21.279,0.834,6.725,-1.575,-1.463,-15.373
biphenyl,1.39,21.193,-20.302,0.891,7.300,-1.775,-1.646,-16.547
,1.39,21.193,-20.302,0.891,7.300,-1.775,-1.646,-16.547
,1.39,21.193,-20.302,0.891,7.300,-1.775,-1.646,-16.547
,1.39,21.193,-20.302,0.891,7.300,-1.775,-1.646,-16.547
,1.39,20.385,-19.497,0.888,7.272,-1.763,-1.638,-16.489
,1.39,20.385,-19.497,0.888,7.272,-1.763,-1.638,-16.489
,1.39,20.385,-19.497,0.888,7.272,-1.763,-1.638,-16.489
,1.39,20.385,-19.497,0.888,7.272,-1.763,-1.638,-16.489
,1.40,22.803,-21.926,0.877,7.142,-1.725,-1.596,-16.224
,1.40,22.803,-21.926,0.877,7.142,-1.725,-1.596,-16.224
,1.40,22.803,-21.926,0.877,7.142,-1.725,-1.596,-16.224
,1.40,22.803,-21.926,0.877,7.142,-1.725,-1.596,-16.224
,1.48,22.857,-22.128,0.730,5.762,-1.253,-1.213,-13.351
anthracene,1.36,22.131,-21.169,0.950,7.860,-1.972,-1.803,-17.656
,1.36,22.131,-21.169,0.950,7.860,-1.972,-1.803,-17.656
,1.36,22.131,-21.169,0.950,7.860,-1.972,-1.803,-17.656
,1.36,22.131,-21.169,0.950,7.860,-1.972,-1.803,-17.656
,1.39,24.480,-23.601,0.886,7.199,-1.738,-1.609,-16.338
,1.39,24.480,-23.601,0.886,7.199,-1.738,-1.609,-16.338
,1.39,24.480,-23.601,0.886,7.199,-1.738,-1.609,-16.338
,1.39,24.480,-23.601,0.886,7.199,-1.738,-1.609,-16.338
,1.43,21.276,-20.449,0.821,6.584,-1.527,-1.439,-15.086
,1.43,21.276,-20.449,0.821,6.584,-1.527,-1.439,-15.086
,1.43,23.518,-22.705,0.821,6.584,-1.527,-1.439,-15.086
,1.43,23.518,-22.705,0.821,6.584,-1.527,-1.439,-15.086
,1.43,23.518,-22.705,0.821,6.584,-1.527,-1.439,-15.086
,1.43,23.518,-22.705,0.821,6.584,-1.527,-1.439,-15.086
,1.43,25.040,-24.197,0.814,6.509,-1.503,-1.405,-14.928
,1.43,25.040,-24.197,0.814,6.509,-1.503,-1.405,-14.928
biphenylene,1.37,22.290,-21.341,0.949,7.710,-1.933,-1.789,-17.387
,1.37,22.290,-21.341,0.949,7.710,-1.933,-1.789,-17.387
,1.37,22.290,-21.341,0.949,7.710,-1.933,-1.789,-17.387
,1.37,22.290,-21.341,0.949,7.710,-1.933,-1.789,-17.387
,1.38,20.393,-19.489,0.904,7.419,-1.827,-1.680,-16.775
,1.38,20.393,-19.489,0.904,7.419,-1.827,-1.680,-16.775
,1.42,20.603,-19.759,0.844,6.819,-1.625,-1.512,-15.567
,1.42,20.603,-19.759,0.844,6.819,-1.625,-1.512,-15.567
,1.42,20.603,-19.758,0.844,6.819,-1.625,-1.512,-15.567
,1.42,20.602,-19.758,0.844,6.819,-1.625,-1.512,-15.567
,1.42,23.714,-22.873,0.840,6.772,-1.577,-1.405,-15.535
,1.42,23.714,-22.873,0.840,6.772,-1.577,-1.405,-15.535
,1.51,22.862,-22.140,0.722,5.301,-1.194,-1.147,-12.624
,1.51,22.861,-22.139,0.722,5.301,-1.194,-1.147,-12.624
,,,,,,,,
annulene,,,,,,,,
system,dCC,Vbnp,V?,V(r),lv1,lv2,lv3,l?v1
14-annulene,1.35,23.116,-22.141,0.975,8.081,-2.056,-1.883,-18.086
,1.35,23.116,-22.141,0.975,8.081,-2.056,-1.883,-18.086
,1.35,23.159,-22.188,0.971,8.054,-2.053,-1.875,-18.036
,1.35,23.159,-22.188,0.971,8.054,-2.053,-1.875,-18.036
,1.35,22.424,-21.460,0.965,8.012,-2.038,-1.849,-17.943
,1.36,22.056,-21.095,0.960,7.933,-2.017,-1.840,-17.796
,1.36,22.056,-21.095,0.960,7.933,-2.017,-1.840,-17.796
,1.44,22.508,-21.709,0.799,6.384,-1.459,-1.406,-14.673
,1.44,22.508,-21.762,0.799,6.384,-1.459,-1.406,-14.673
,1.45,22.561,-21.779,0.782,6.232,-1.416,-1.361,-14.355
,1.45,22.561,-20.799,0.782,6.232,-1.416,-1.361,-14.355
,1.46,21.582,-20.804,0.777,6.177,-1.404,-1.347,-14.236
,1.46,21.582,-21.177,0.777,6.177,-1.404,-1.347,-14.236
,1.46,21.955,-21.739,0.769,6.140,-1.388,-1.329,-14.151
16-anuulene,1.34,24.266,-23.279,0.987,8.216,-2.107,-1.919,-18.350
,1.34,24.266,-23.279,0.987,8.216,-2.107,-1.919,-18.350
,1.34,24.266,-23.279,0.987,8.216,-2.107,-1.919,-18.350
,1.34,24.266,-23.279,0.987,8.216,-2.107,-1.919,-18.350
,1.34,23.259,-22.272,0.987,8.198,-2.111,-1.920,-18.321
,1.34,23.259,-22.272,0.987,8.198,-2.111,-1.920,-18.321
,1.34,23.259,-22.272,0.987,8.198,-2.111,-1.920,-18.321
,1.34,23.259,-22.272,0.987,8.198,-2.111,-1.920,-18.321
,1.45,23.607,-22.828,0.779,6.210,-1.404,-1.356,-14.308
,1.45,23.607,-22.828,0.779,6.210,-1.404,-1.356,-14.308
,1.45,23.607,-22.828,0.779,6.210,-1.404,-1.356,-14.308
,1.45,23.607,-22.828,0.779,6.210,-1.404,-1.356,-14.308
,1.46,22.676,-21.908,0.768,6.097,-1.369,-1.326,-14.072
,1.46,22.676,-21.908,0.768,6.097,-1.369,-1.326,-14.072
,1.46,22.676,-21.908,0.768,6.097,-1.369,-1.326,-14.072
,1.46,22.676,-21.908,0.768,6.097,-1.369,-1.326,-14.072
,,,,,,,,
carbon clusters,,,,,,,,
system,dCC,Vbnp,V?,V(r),lv1,lv2,lv3,l?v1
fullerene,1.39,53.132,-52.178,0.954,7.370,-1.819,-1.670,-16.687
,1.39,53.132,-52.178,0.954,7.370,-1.819,-1.670,-16.687
,1.45,52.960,-52.128,0.832,6.241,-1.450,-1.335,-14.399
,1.45,52.960,-52.128,0.832,6.241,-1.450,-1.335,-14.399
ovalene,1.36,31.916,-30.950,0.966,7.965,-2.012,-1.833,-17.863
,1.36,31.916,-30.950,0.966,7.965,-2.012,-1.833,-17.863
,1.36,31.916,-30.950,0.966,7.965,-2.012,-1.833,-17.863
,1.36,31.916,-30.950,0.966,7.965,-2.012,-1.833,-17.863
,1.37,31.371,-30.445,0.927,7.579,-1.875,-1.724,-17.103
,1.37,31.371,-30.445,0.927,7.579,-1.875,-1.724,-17.103
,1.40,34.551,-33.662,0.889,7.183,-1.735,-1.604,-16.305
,1.40,34.551,-33.662,0.889,7.183,-1.735,-1.604,-16.305
,1.40,34.551,-33.662,0.889,7.183,-1.735,-1.604,-16.305
,1.40,34.551,-33.662,0.889,7.183,-1.735,-1.604,-16.305
,1.41,38.875,-38.009,0.866,6.917,-1.641,-1.518,-15.771
,1.41,38.875,-38.009,0.866,6.917,-1.641,-1.518,-15.771
,1.41,38.875,-38.009,0.866,6.917,-1.641,-1.518,-15.771
,1.41,38.875,-38.009,0.866,6.917,-1.641,-1.518,-15.771
,1.41,36.042,-35.181,0.861,6.901,-1.634,-1.512,-15.735
,1.41,36.042,-35.181,0.861,6.901,-1.634,-1.512,-15.735
,1.41,36.042,-35.181,0.861,6.901,-1.634,-1.512,-15.735
,1.41,36.042,-35.181,0.861,6.901,-1.634,-1.512,-15.735
,1.41,32.735,-31.876,0.859,6.913,-1.640,-1.530,-15.760
,1.41,32.735,-31.876,0.859,6.913,-1.640,-1.530,-15.760
,1.41,32.735,-31.876,0.859,6.913,-1.640,-1.530,-15.760
,1.41,32.735,-31.876,0.859,6.913,-1.640,-1.530,-15.760
,1.42,37.592,-36.748,0.845,6.726,-1.578,-1.466,-15.382
,1.42,37.592,-36.748,0.845,6.726,-1.578,-1.466,-15.382
,1.42,36.937,-36.097,0.840,6.696,-1.566,-1.456,-15.316
,1.42,36.937,-36.097,0.840,6.696,-1.566,-1.456,-15.316
,1.42,36.937,-36.097,0.840,6.696,-1.566,-1.456,-15.316
,1.42,36.937,-36.097,0.840,6.696,-1.566,-1.456,-15.316
,1.43,37.883,-37.047,0.835,6.634,-1.546,-1.441,-15.193
,1.43,37.883,-37.047,0.835,6.634,-1.546,-1.441,-15.193
,1.43,37.883,-37.047,0.835,6.634,-1.546,-1.441,-15.193
,1.43,37.883,-37.047,0.835,6.634,-1.546,-1.441,-15.193
,1.44,39.329,-38.507,0.822,6.494,-1.499,-1.403,-14.904
,1.44,32.748,-31.931,0.816,6.498,-1.500,-1.416,-14.908
,1.44,32.748,-31.931,0.816,6.498,-1.500,-1.416,-14.908
,1.44,32.748,-31.931,0.816,6.498,-1.500,-1.416,-14.908
,1.44,32.748,-31.931,0.816,6.498,-1.500,-1.416,-14.908
,1.44,33.446,-32.632,0.814,6.476,-1.492,-1.409,-14.862
,1.44,33.446,-32.632,0.814,6.476,-1.492,-1.409,-14.862
,1.44,33.446,-32.632,0.814,6.476,-1.492,-1.409,-14.862
,1.44,33.446,-32.632,0.814,6.476,-1.492,-1.409,-14.862
cyclophane_C13H18,1.39,24.795,-23.901,0.895,7.340,-1.804,-1.670,-16.646
,1.39,24.454,-23.570,0.884,7.249,-1.781,-1.645,-16.458
,1.39,25.302,-24.428,0.875,7.221,-1.742,-1.615,-16.380
,1.39,25.302,-24.428,0.875,7.221,-1.742,-1.615,-16.380
,1.40,25.092,-24.224,0.868,7.145,-1.723,-1.599,-16.228
,1.40,25.092,-24.224,0.868,7.145,-1.723,-1.599,-16.228
,1.50,23.764,-23.083,0.682,5.474,-1.176,-1.156,-12.752
,1.50,23.764,-23.083,0.682,5.474,-1.176,-1.156,-12.752
,1.55,23.456,-22.863,0.593,4.948,-1.032,-1.009,-11.588
,1.55,23.456,-22.863,0.593,4.948,-1.032,-1.009,-11.588
,1.55,22.661,-22.069,0.591,4.886,-1.002,-0.999,-11.442
,1.55,22.661,-22.069,0.591,4.886,-1.002,-0.999,-11.442
,1.56,22.335,-21.749,0.586,4.759,-0.983,-0.966,-11.172
,1.56,22.335,-21.749,0.586,4.759,-0.983,-0.966,-11.172
cyclophane_C16H16,1.39,26.835,-25.952,0.883,7.284,-1.789,-1.651,-16.527
,1.39,26.835,-25.952,0.883,7.284,-1.789,-1.651,-16.526
,1.39,26.835,-25.952,0.883,7.283,-1.789,-1.651,-16.525
,1.39,26.835,-25.951,0.883,7.283,-1.789,-1.651,-16.525
,1.39,27.427,-26.557,0.870,7.196,-1.740,-1.609,-16.331
,1.39,27.427,-26.557,0.870,7.196,-1.739,-1.609,-16.331
,1.39,27.427,-26.557,0.870,7.196,-1.739,-1.609,-16.330
,1.39,27.427,-26.557,0.870,7.196,-1.739,-1.609,-16.329
,1.40,27.393,-26.527,0.866,7.173,-1.733,-1.601,-16.281
,1.40,27.393,-26.527,0.866,7.172,-1.733,-1.601,-16.281
,1.40,27.393,-26.527,0.866,7.172,-1.733,-1.601,-16.280
,1.40,27.393,-26.527,0.866,7.172,-1.733,-1.601,-16.280
,1.51,25.820,-25.150,0.670,5.377,-1.143,-1.131,-12.528
,1.51,25.820,-25.150,0.670,5.377,-1.143,-1.131,-12.527
,1.51,25.820,-25.150,0.670,5.377,-1.143,-1.131,-12.527
,1.51,25.820,-25.150,0.670,5.376,-1.143,-1.131,-12.525
,1.59,24.258,-23.701,0.557,4.427,-0.906,-0.884,-10.439
,1.59,24.258,-23.701,0.557,4.427,-0.906,-0.884,-10.438
CNT_C24H12,1.41,32.013,-31.135,0.878,6.898,-1.684,-1.547,-15.744
,1.41,32.013,-31.135,0.878,6.898,-1.684,-1.546,-15.744
,1.41,32.013,-31.135,0.878,6.898,-1.684,-1.546,-15.744
,1.41,32.013,-31.135,0.878,6.898,-1.684,-1.546,-15.744
,1.41,32.013,-31.135,0.878,6.897,-1.684,-1.546,-15.744
,1.41,32.013,-31.135,0.878,6.897,-1.684,-1.546,-15.744
,1.41,32.013,-31.135,0.878,6.897,-1.684,-1.546,-15.744
,1.41,32.013,-31.135,0.878,6.897,-1.684,-1.546,-15.744
,1.41,32.012,-31.135,0.878,6.896,-1.684,-1.546,-15.744
,1.41,32.012,-31.135,0.878,6.896,-1.684,-1.546,-15.744
,1.41,37.377,-31.135,0.878,6.895,-1.684,-1.546,-15.744
,1.41,32.011,-31.134,0.878,6.895,-1.684,-1.546,-15.744
,1.41,32.012,-31.134,0.877,6.895,-1.684,-1.546,-15.744
,1.41,32.012,-36.500,0.877,6.895,-1.684,-1.546,-15.744
,1.41,32.012,-31.134,0.877,6.895,-1.684,-1.546,-15.744
,1.41,32.012,-31.135,0.877,6.895,-1.684,-1.546,-15.744
,1.41,32.011,-31.135,0.877,6.895,-1.683,-1.546,-15.744
,1.41,32.011,-31.135,0.877,6.895,-1.683,-1.546,-15.744
,1.41,32.011,-31.135,0.877,6.895,-1.683,-1.546,-15.744
,1.41,32.011,-31.134,0.877,6.895,-1.683,-1.546,-15.744
,1.41,32.012,-31.134,0.877,6.894,-1.683,-1.545,-15.744
,1.41,32.012,-31.134,0.877,6.894,-1.683,-1.545,-15.744
,1.41,32.012,-31.134,0.877,6.893,-1.683,-1.545,-15.744
,1.41,32.012,-31.134,0.877,6.893,-1.683,-1.545,-15.744
,1.45,32.755,-31.134,0.805,6.298,-1.425,-1.347,-14.475
,1.45,32.755,-31.134,0.805,6.298,-1.425,-1.347,-14.475
,1.45,32.754,-31.134,0.805,6.296,-1.424,-1.347,-14.475
,1.45,32.754,-31.950,0.805,6.296,-1.424,-1.347,-14.475
,1.45,32.755,-31.950,0.805,6.295,-1.424,-1.347,-14.475
,1.45,32.755,-31.949,0.805,6.295,-1.424,-1.347,-14.475
,,,,,,,,
alkynes,,,,,,,,
system,dCC,Vbnp,V?,V(r),lv1,lv2,lv3,l?v1
acetylene,1.20,11.255,-9.853,1.402,12.151,-3.500,-3.500,-25.649
diacetylene,1.20,13.612,-12.206,1.406,11.951,-3.435,-3.435,-25.310
,1.20,13.612,-12.206,1.406,11.951,-3.435,-3.435,-25.310
,1.38,12.938,-11.934,1.004,7.447,-1.844,-1.844,-16.996
triacetylene,1.20,14.806,-13.398,1.408,11.898,-3.414,-3.414,-25.218
,1.20,14.806,-13.398,1.408,11.898,-3.414,-3.414,-25.218
,1.21,15.963,-14.562,1.401,11.697,-3.348,-3.348,-24.872
,1.37,14.588,-13.560,1.027,7.597,-1.894,-1.894,-17.290
,1.37,14.588,-13.560,1.027,7.597,-1.894,-1.894,-17.290
tetraacetylene,1.20,15.610,-14.200,1.411,11.883,-3.408,-3.408,-25.191
,1.20,15.610,-14.200,1.411,11.883,-3.408,-3.408,-25.191
,1.21,17.152,-15.753,1.399,11.620,-3.319,-3.319,-24.738
,1.21,17.152,-15.753,1.399,11.620,-3.319,-3.319,-24.738
,1.36,16.250,-15.198,1.051,7.775,-1.954,-1.954,-17.642
,1.37,15.567,-14.532,1.035,7.637,-1.907,-1.907,-17.370
,1.37,15.567,-14.532,1.035,7.637,-1.907,-1.907,-17.370
pentaacetylene,1.20,16.217,-14.805,1.412,11.878,-3.405,-3.405,-25.183
,1.20,16.217,-14.805,1.412,11.878,-3.405,-3.405,-25.183
,1.21,17.955,-16.556,1.400,11.595,-3.309,-3.309,-24.695
,1.21,17.955,-16.556,1.400,11.595,-3.309,-3.309,-24.695
,1.21,18.341,-16.946,1.395,11.535,-3.286,-3.286,-24.590
,1.36,17.234,-16.175,1.060,7.827,-1.971,-1.971,-17.744
